,Title,Price,Rooms,Area,Floor,Building Floors,Condition,Material,Address,Lift,Security,Internet,Playground,Sauna,Sewerage,Fridge,Telephone Line,Separate Bathrooms,Surveillance,Pool,Water,Microwave,Parking,AC,TV,Washing Machine,Cable TV,Furniture,Gas
860,3-комнатная квартира на продажу,78 000 у.е.,3,66 м²,3,4,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Олий Химмат, улица Зиёлилар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,2-комнатная квартира на продажу,137 000 у.е.,2,70 м²,3,8,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Мухандислар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,3-комнатная квартира на продажу,84 000 у.е.,3,72 м²,1,4,Авторский проект,Панельный,"город Ташкент, Алмазарский район, массив Чимбай",0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0
863,4-комнатная квартира на продажу,169 000 у.е.,4,90 м²,8,9,Авторский проект,Панельный,"город Ташкент, Мирабадский район, массив Госпитальный",1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
864,3-комнатная квартира на продажу,68 000 у.е.,3,48 м²,2,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Заркурган, улица Ботирма",0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
865,2-комнатная квартира на продажу,58 500 у.е.,2,52 м²,4,5,Средний,Кирпичный,"город Ташкент, Учтепинский район, 26-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,2-комнатная квартира на продажу,63 000 у.е.,2,57 м²,1,4,Требует ремонта,Другое,"город Ташкент, Алмазарский район, махаллинский сход граждан Алтынсай",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,1-комнатная квартира на продажу,53 500 у.е.,1,38 м²,3,4,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, 1-й квартал, проспект Амира Темура",0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
868,2-комнатная квартира на продажу,61 000 у.е.,2,60.08 м²,2,9,Требует ремонта,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,3-комнатная квартира на продажу,210 000 у.е.,3,77 м²,2,10,Евроремонт,Другое,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Олмазор, улица Ислама Каримова",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
