,Title,Price,Rooms,Area,Floor,Building floors,Condition,Style,Province,District,Neighborhood
2149,Кўп қаватли турар жой,401 500 000 сум,2.0,72.93,1.0,7.0,Қониқарсиз,Оддий,Жиззах вилояти,Жиззах шаҳри,Kimyogar MFY
2150,Продам Квартиру 2х ком 1 этаж в Янгиюле на Артыкова,406 038 400 сум,2.0,56.0,1.0,2.0,Қониқарли,Оддий,Тошкент вилояти,Янгийўл шаҳри,Turkiston MFY
2151,Продается 3-х комнатная квартира,888 209 000 сум,3.0,96.0,2.0,2.0,Яхши,Оддий,Тошкент вилояти,Қибрай тумани,Yukori yuz MFY
2152,Продаётся 3 ком квартира над горами чистая природа,380 661 000 сум,3.0,60.0,4.0,4.0,Яхши,Оддий,Тошкент вилояти,Паркент тумани,Tolbuloq MFY
2153,Кўп қаватли турар жой,268 222 240 сум,1.0,37.62,1.0,4.0,Яхши,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Doslik MFY
2154,Uch xonalik g'ishtli uy sotiladi,380 661 000 сум,3.0,67.0,2.0,2.0,Қониқарли,Оддий,Тошкент вилояти,Бекобод тумани,Istiqlol MFY
2155,Кўп қаватли турар жой,130 000 000 сум,2.0,55.0,2.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Арнасой тумани,Golibar MFY
2156,Турар жой,220 000 000 сум,2.0,48.0,4.0,4.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Mustaqillik MFY
2157,Продаётся своя 3-х ком квартира 3/3/5 Чарвак Бочка (может ипотека),635 380 000 сум,3.0,70.0,3.0,5.0,Яхши,Оддий,Тошкент вилояти,Бўстонлиқ тумани,Dustlik MFY
2158,Турар жой,400 000 000 сум,3.0,72.0,3.0,4.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Feruz MFY
2159,Кўп қаватли турар жой,270 000 000 сум,2.0,68.2,1.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Фориш тумани,O‘zbekiston MFY
2160,квартира сотилади,125 000 000 сум,2.0,47.0,1.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Дўстлик тумани,Mevazor MFY
2161,Xo'jakentda kvartira sotiladi 3hona 4-etaj 17-dom,698 918 000 сум,3.0,62.0,4.0,5.0,Яхши,Оддий,Тошкент вилояти,Бўстонлиқ тумани,Xujakent MFY
2162,квартира сотилади,560 000 000 сум,3.0,80.0,4.0,5.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Lochin MFY
2163,2 xonali uy SOTILADI,180 000 000 сум,2.0,57.0,2.0,2.0,Яхши,Оддий,Жиззах вилояти,Пахтакор тумани,Olmazor MFY
2164,Савдо мажмуаси,194 599 900 сум,3.0,74.0,3.0,3.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Хўжайли тумани,Amudarya OFY
2165,квартира сотилади,444 839 500 сум,3.0,29.43,1.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Ўртачирчиқ тумани,Adolat MFY
2166,квартира сотилади,266 903 700 сум,3.0,56.0,2.0,2.0,Қониқарли,Оддий,Тошкент вилояти,Ўртачирчиқ тумани,Turkiston MFY
2167,квартира сотилади,550 000 000 сум,2.0,72.0,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Binokor MFY
2168,квартира сотилади,278 975 400 сум,3.0,72.0,2.0,2.0,Қониқарли,Оддий,Тошкент вилояти,Ўртачирчиқ тумани,Adolat MFY
2169,квартира сотилади,405 782 400 сум,3.0,60.0,1.0,2.0,Яхши,Оддий,Тошкент вилояти,Бўка тумани,Madaniyat MFY
2170,квартира сотилади,494 547 300 сум,3.0,100.0,4.0,4.0,Яхши,Оддий,Тошкент вилояти,Нурафшон шаҳри,Degantepa MFY
2171,квартира сотилади,540 000 000 сум,2.0,63.0,3.0,4.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Baxor MFY
2172,квартира сотилади,500 000 000 сум,2.0,52.0,2.0,3.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Baxor MFY
2173,ko'p qavatli uydagi xonadon,183 600 000 сум,3.0,53.2,1.0,2.0,Қониқарли,Оддий,Сурхондарё вилояти,Денов тумани,Guliston MFY
2174,квартира сотилади,1 166 624 400 сум,3.0,103.21,4.0,10.0,Яхши,Оддий,Тошкент шаҳар,Мирзо Улуғбек тумани,Avayxon MFY
2175,Турар жой,306 663 600 сум,2.0,67.04,3.0,5.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Shifokor MFY
2176,Кўп қаватли турар жой,530 000 000 сум,3.0,68.52,3.0,4.0,Яхши,Оддий,Тошкент шаҳар,Сирғали тумани,Uchuvchilar MFY
2177,Кўп қаватли турар жой,760 170 000 сум,4.0,68.65,3.0,4.0,Яхши,Оддий,Тошкент вилояти,Янгийўл шаҳри,Lazzat MFY
2178,Квартира сотилади,506 780 000 сум,3.0,70.0,3.0,4.0,Яхши,Оддий,Тошкент вилояти,Янгийўл тумани,Gulbaxor MFY
2179,Кўп қаватли турар жой,536 080 000 сум,2.0,56.24,3.0,3.0,Қониқарли,Оддий,Тошкент шаҳар,Олмазор тумани,Yoshlik MFY
2180,Квартира,354 746 000 сум,1.0,29.0,4.0,4.0,Яхши,Оддий,Тошкент вилояти,Янгийўл шаҳри,Farovon MFY
2181,Кўп қаватли турар жой,1 114 000 000 сум,3.0,126.96,7.0,7.0,Қониқарсиз,Оддий,Тошкент шаҳар,Олмазор тумани,Chustiy MFY
2182,Кўп қаватли турар жой,645 012 000 сум,2.0,59.93,4.0,4.0,Яхши,Оддий,Тошкент шаҳар,Олмазор тумани,Chustiy MFY
2183,"часть фабрики, склад",1 089 990 000 сум,4.0,98.34,4.0,9.0,Қониқарли,Оддий,Тошкент шаҳар,Олмазор тумани,Chustiy MFY
2184,Продам СВОЯ 3-х комн. 1-этаж 78 кв.м.,466 237 600 сум,3.0,78.0,1.0,2.0,Яхши,Оддий,Тошкент вилояти,Янгийўл тумани,Gulbaxor MFY
2185,Сотилади 2 хонали уй,300 000 000 сум,2.0,64.0,3.0,5.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Bogzor MFY
2186,квартира сотилади,330 000 000 сум,2.0,50.0,2.0,2.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Alisher Navoiy MFY
2187,Кўп қаватли турар жой,978 750 000 сум,1.0,118.41,4.0,6.0,Яхши,Оддий,Тошкент шаҳар,Олмазор тумани,Chig‘atoy Darboza MFY
2188,3-xonali uy sotiladi,620 805 500 сум,3.0,67.0,3.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Қибрай тумани,Yoshlik MFY
2189,квартира сотилади,280 000 000 сум,2.0,55.0,1.0,2.0,Қониқарли,Оддий,Навоий вилояти,Учқудуқ тумани,Abay MFY
2190,квартира сотилади,924 873 500 сум,3.0,67.87,3.0,4.0,Яхши,Оддий,Тошкент вилояти,Қибрай тумани,Zebuniso MFY
2191,Кўп қаватли турар жой,738 000 000 сум,3.0,90.75,2.0,4.0,Қониқарли,Оддий,Тошкент шаҳар,Учтепа тумани,Bog‘obod MFY
2192,квартира сотилади,446 250 000 сум,2.0,66.26,4.0,4.0,Қониқарли,Оддий,Тошкент шаҳар,Бектемир тумани,Zilola MFY
2193,Кўп қаватли турар жой,1 167 424 000 сум,4.0,122.2,7.0,9.0,Яхши,Оддий,Тошкент шаҳар,Чилонзор тумани,Ko‘tarma MFY
2194,Chiroqchi Sarbon 3 xonali 1 etajdan dom sotiladi,380 379 000 сум,3.0,57.0,1.0,3.0,Яхши,Оддий,Қашқадарё вилояти,Чироқчи тумани,Chirogchi MFY
2195,"3хонали кв сотилади. Васход бозори 5мкр, обстоновкали, ремонти яхши",590 000 000 сум,3.0,75.0,5.0,5.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Farovon MFY
2196,Кўп қаватли турар жой,285 000 000 сум,2.0,45.73,2.0,4.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Gulchilar MFY
2197,2 хоналик квартира,500 000 000 сум,2.0,54.75,1.0,4.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Oltin vodiy MFY
2198,Кўп қаватли турар жой,310 000 000 сум,3.0,53.12,2.0,5.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Obi-xayot MFY
2199,квартира сотилади,366 974 700 сум,3.0,65.28,1.0,2.0,Яхши,Оддий,Тошкент вилояти,Ўртачирчиқ тумани,Adolat MFY
2200,квартира сотилади,355 286 400 сум,2.0,58.33,2.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Бекобод шаҳри,Bogishamol MFY
2201,квартира сотилади,910 000 000 сум,3.0,110.0,4.0,7.0,Яхши,Оддий,Жиззах вилояти,Жиззах шаҳри,Mirzo Ulugbek MFY
2202,Barcha jihozlari bilan 3 xonali kvartira 510 mln soʻm.,420 000 000 сум,3.0,71.0,3.0,5.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Guliston MFY
2203,квартира сотилади,350 000 000 сум,2.0,49.0,3.0,6.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Alisher Navoiy MFY
2204,квартира сотилади,456 796 800 сум,3.0,65.56,4.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Олмалиқ шаҳри,Saxovat MFY
2205,1 хонали хонадон сотилади. Продается 1 комнатная квартира.,280 000 000 сум,1.0,46.0,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Daugiztau MFY
2206,Продаётся 3-х ком квар. в Ангрене,412 386 000 сум,3.0,75.51,1.0,4.0,Яхши,Оддий,Тошкент вилояти,Ангрен шаҳри,Kimyogar MFY
2207,4 комнатная квартира продаётся на 1 этаже,761 328 000 сум,4.0,88.0,1.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Олмалиқ шаҳри,Gofur Gulom MFY
2208,"Срочно!!! АЛМАЛЫК, ул: Улугбек дом 76-Б. 3-хона, 3-этаж.",760 059 120 сум,3.0,77.0,3.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Олмалиқ шаҳри,Oydin MFY
2209,Квартера Срочно сотилади,583 625 000 сум,2.0,89.0,4.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
2210,Квартира в городе Термез,350 000 000 сум,3.0,68.6,3.0,4.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Yulduz MFY
2211,Termiz sh. 2 xonali uy sotiladi,350 000 000 сум,2.0,77.4,4.0,5.0,Қониқарсиз,Оддий,Сурхондарё вилояти,Термиз шаҳри,Shifokor MFY
2212,Termiz shahar 2 xonali uy sotiladi,316 510 000 сум,2.0,60.2,3.0,4.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Alpomish MFY
2213,Кўп қаватли турар жой,219 995 000 сум,1.0,45.41,1.0,4.0,Яхши,Оддий,Сирдарё вилояти,Гулистон шаҳри,Namuna MFY
2214,Termiz shahri 3 xonali uy,393 644 160 сум,3.0,67.0,4.0,4.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Alpomish MFY
2215,Термиз шаҳардан 2-хонали квартира сотилади,350 000 000 сум,2.0,77.7,4.0,5.0,Қониқарсиз,Оддий,Сурхондарё вилояти,Термиз шаҳри,Buston MFY
2216,Квартира кредитсиз,287 663 040 сум,2.0,49.3,3.0,4.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Alpomish MFY
2217,Kvartira,370 000 000 сум,3.0,56.0,4.0,5.0,Яхши,Оддий,Жиззах вилояти,Шароф Рашидов тумани,Tokchilik MFY
2218,Квартира,350 000 000 сум,3.0,90.0,4.0,5.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Baynalminalchi MFY
2219,Квартира сотилади,270 000 000 сум,2.0,56.0,2.0,4.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Ko‘hna-qal‘a MFY
2220,Квартира,280 000 000 сум,2.0,60.0,4.0,4.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Baynalminalchi MFY
2221,квартира сотилдаи,400 000 000 сум,1.0,60.0,1.0,7.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Baxor MFY
2222,квартира сотилади,500 000 000 сум,2.0,80.0,5.0,5.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Baxor MFY
